Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24,Channel_25,Channel_26,Channel_27,Channel_28,Channel_29,Channel_30,Channel_31,Channel_32,Channel_33,Channel_34,Channel_35,Channel_36,Channel_37,Channel_38,Channel_39,Channel_40,Channel_41,Channel_42,Channel_43,Channel_44,Channel_45,Channel_46,Channel_47,Channel_48,Channel_49,Channel_50,Channel_51,Channel_52,Channel_53,Channel_54,Channel_55,Channel_56,Channel_57,Channel_58,Channel_59,Channel_60,Channel_61,Channel_62,Channel_63
101.966240,102.169136,101.909142,102.268539,102.224258,102.253296,102.234749,101.957657,102.313820,102.310379,101.985054,102.109406,102.028320,101.937080,101.904999,102.264374,102.358841,102.395935,101.940048,102.244720,102.230682,102.291679,102.379242,101.933304,102.290230,102.323357,102.379105,102.299248,102.055542,102.262032,102.401672,102.321350,102.320389,102.364731,102.348083,102.299454,102.331947,102.310570,102.386948,102.285034,102.452530,102.361473,102.306778,102.381950,102.341805,102.337418,102.284683,102.379272,102.520737,102.412453,102.363617,102.250992,102.291191,102.316238,102.339874,102.342300,102.419899,102.426834,102.387993,102.328049,102.337143,102.328537,102.404564,102.311859
101.965904,102.169136,101.909805,102.268539,102.223915,102.251785,102.234749,101.957321,102.313820,102.310043,101.985374,102.109070,102.027649,101.937424,101.905334,102.265030,102.359177,102.395599,101.940392,102.245392,102.230682,102.291679,102.379242,101.932617,102.289894,102.323357,102.377930,102.299248,102.057693,102.262688,102.401672,102.321014,102.320053,102.365067,102.347305,102.299454,102.331947,102.310570,102.386948,102.285156,102.453354,102.362694,102.306442,102.381950,102.342133,102.337418,102.284012,102.380295,102.521072,102.412796,102.363953,102.251343,102.291847,102.315903,102.338699,102.342628,102.419434,102.427505,102.387657,102.328568,102.338173,102.328873,102.404892,102.312363
101.966240,102.170616,101.910484,102.269730,102.224258,102.251457,102.234085,101.958481,102.313034,102.310379,101.984383,102.108727,102.027977,101.935936,101.904999,102.264702,102.358841,102.394943,101.940392,102.245064,102.231674,102.291679,102.378914,101.933395,102.289566,102.322800,102.377930,102.298912,102.055542,102.262688,102.401672,102.321350,102.320389,102.366600,102.348083,102.298775,102.332619,102.310242,102.386948,102.285812,102.452187,102.363029,102.304909,102.381615,102.342133,102.337746,102.284348,102.380295,102.520737,102.413124,102.363953,102.252029,102.291191,102.315552,102.338699,102.342300,102.419434,102.428612,102.386497,102.328232,102.337051,102.329208,102.405563,102.312195
101.966240,102.170952,101.910484,102.269730,102.223259,102.251953,102.233749,101.957809,102.313034,102.310043,101.984055,102.108727,102.027649,101.935608,101.905670,102.263870,102.359177,102.394943,101.940720,102.244720,102.231354,102.291679,102.378586,101.933395,102.290230,102.322479,102.377930,102.298584,102.055099,102.262688,102.402832,102.321350,102.320389,102.365929,102.347389,102.298775,102.332283,102.309906,102.386612,102.285484,102.452698,102.362694,102.305443,102.381271,102.341805,102.337082,102.284683,102.380295,102.521072,102.412796,102.363617,102.250992,102.291992,102.315552,102.339348,102.342300,102.419777,102.427505,102.387321,102.328568,102.337051,102.329208,102.405907,102.312523
101.965904,102.170952,101.909805,102.269730,102.223587,102.251457,102.234421,101.958145,102.312698,102.309692,101.984711,102.108391,102.028320,101.936417,101.905334,102.264542,102.360672,102.394608,101.939926,102.244720,102.231468,102.291344,102.379242,101.932724,102.290878,102.322800,102.378090,102.299248,102.054565,102.262161,102.402832,102.322350,102.321068,102.365929,102.347733,102.298447,102.332619,102.309570,102.386269,102.285156,102.452698,102.362694,102.305779,102.381271,102.341805,102.338943,102.284233,102.380966,102.521751,102.412453,102.363617,102.251343,102.292519,102.315552,102.339348,102.343285,102.419434,102.426834,102.387657,102.328232,102.337479,102.329208,102.406044,102.313362
101.966576,102.171623,101.910149,102.269394,102.222923,102.251457,102.234085,101.958145,102.313156,102.309692,101.984711,102.108727,102.027977,101.936752,101.905670,102.264206,102.359177,102.394943,101.939590,102.245064,102.230804,102.291344,102.379906,101.932724,102.290230,102.322479,102.378433,102.299248,102.055542,102.261826,102.402832,102.321518,102.320724,102.365585,102.348083,102.299118,102.331612,102.309235,102.386269,102.286156,102.451698,102.362358,102.306633,102.380936,102.341133,102.337746,102.284683,102.380630,102.522079,102.412109,102.362953,102.250992,102.293320,102.315552,102.339348,102.343628,102.419777,102.427162,102.388321,102.328232,102.337830,102.328537,102.405716,102.312691
101.965904,102.170616,101.910995,102.269394,102.223419,102.252129,102.234749,101.958145,102.313156,102.309692,101.984383,102.109909,102.027512,101.936752,101.906342,102.263550,102.359177,102.395599,101.939590,102.245392,102.230019,102.291344,102.379906,101.932388,102.289894,102.322151,102.378433,102.299911,102.056503,102.262161,102.403175,102.322021,102.320389,102.366264,102.348770,102.299118,102.332428,102.309235,102.386612,102.286636,102.451698,102.362358,102.306633,102.380592,102.341461,102.337746,102.284683,102.380630,102.523232,102.411453,102.362953,102.250992,102.292992,102.315552,102.339348,102.343964,102.420227,102.427635,102.388527,102.327896,102.337830,102.330078,102.405563,102.312363
101.965904,102.170288,101.910995,102.270546,102.223747,102.252632,102.233574,101.958626,102.313820,102.309868,101.985054,102.109909,102.028648,101.937080,101.906677,102.263550,102.359848,102.396271,101.939926,102.245392,102.230804,102.291344,102.379585,101.932724,102.290230,102.321815,102.378090,102.299911,102.056503,102.261826,102.402832,102.322350,102.321068,102.365585,102.348770,102.299118,102.331612,102.310410,102.387283,102.285294,102.451698,102.362030,102.306976,102.380936,102.341461,102.337418,102.285355,102.379494,102.523903,102.411453,102.362617,102.251450,102.293648,102.316238,102.339348,102.344452,102.420227,102.426964,102.388527,102.327225,102.338959,102.330750,102.405907,102.312363
101.966576,102.169609,101.910995,102.270882,102.222603,102.252960,102.233574,101.957474,102.313484,102.309372,101.985054,102.109238,102.028511,101.937752,101.906342,102.263222,102.360344,102.396606,101.939926,102.245720,102.230804,102.291344,102.378426,101.933395,102.289711,102.322151,102.378433,102.299911,102.056503,102.262161,102.402176,102.321518,102.321068,102.365585,102.349442,102.298584,102.331947,102.310074,102.387283,102.285156,102.452026,102.362030,102.306114,102.381752,102.342133,102.337593,102.285355,102.379959,102.523903,102.412598,102.363441,102.251785,102.293503,102.317703,102.339684,102.344116,102.420570,102.425514,102.388863,102.326561,102.337479,102.330750,102.406235,102.312363
101.966576,102.169945,101.910995,102.271225,102.223099,102.252296,102.233238,101.958282,102.313820,102.309868,101.985374,102.108391,102.028511,101.938080,101.906342,102.263550,102.360008,102.396271,101.939262,102.245720,102.229797,102.292496,102.378769,101.933395,102.289711,102.321487,102.378769,102.298264,102.057037,102.262810,102.401512,102.321182,102.320724,102.365257,102.349915,102.299782,102.331947,102.311081,102.386612,102.284485,102.452354,102.363029,102.306442,102.381409,102.342133,102.338264,102.285690,102.378830,102.523094,102.411926,102.363113,102.250305,102.294312,102.316566,102.340538,102.343796,102.420570,102.425980,102.388863,102.326897,102.337479,102.330414,102.406235,102.311203
